PLANE	DESCRIPTION	START	END	STARTDEC	ENDDEC	BLOCK	POINTS	ASSIGNED	SCRIPTS
0	Basic Multilingual Plane	HX  1980	HX  19DF	6528	6623	New Tai Lue 	96	83	New Tai Lue
0	Basic Multilingual Plane	HX  19E0	HX  19FF	6624	6655	Khmer Symbols 	32	32	Khmer
0	Basic Multilingual Plane	HX  1A00	HX  1A1F	6656	6687	Buginese 	32	30	Buginese
0	Basic Multilingual Plane	HX  1A20	HX  1AAF	6688	6831	Tai Tham 	144	127	Tai Tham
0	Basic Multilingual Plane	HX  1AB0	HX  1AFF	6832	6911	Combining Diacritical Marks Extended 	80	15	Inherited
0	Basic Multilingual Plane	HX  1B00	HX  1B7F	6912	7039	Balinese 	128	121	Balinese
0	Basic Multilingual Plane	HX  1B80	HX  1BBF	7040	7103	Sundanese 	64	64	Sundanese
0	Basic Multilingual Plane	HX  1BC0	HX  1BFF	7104	7167	Batak 	64	56	Batak
0	Basic Multilingual Plane	HX  1C00	HX  1C4F	7168	7247	Lepcha 	80	74	Lepcha
0	Basic Multilingual Plane	HX  1C50	HX  1C7F	7248	7295	Ol Chiki 	48	48	Ol Chiki
0	Basic Multilingual Plane	HX  1C80	HX  1C8F	7296	7311	Cyrillic Extended-C 	16	9	Cyrillic
0	Basic Multilingual Plane	HX  1CC0	HX  1CCF	7360	7375	Sundanese Supplement 	16	8	Sundanese
0	Basic Multilingual Plane	HX  1CD0	HX  1CFF	7376	7423	Vedic Extensions 	48	42	Common (15 characters), Inherited (27 characters)
0	Basic Multilingual Plane	HX  1D00	HX  1D7F	7424	7551	Phonetic Extensions 	128	128	Cyrillic (2 characters), Greek (15 characters), Latin (111 characters)
0	Basic Multilingual Plane	HX  1D80	HX  1DBF	7552	7615	Phonetic Extensions Supplement 	64	64	Greek (1 character), Latin (63 characters)
0	Basic Multilingual Plane	HX  1DC0	HX  1DFF	7616	7679	Combining Diacritical Marks Supplement 	64	63	Inherited
0	Basic Multilingual Plane	HX  1E00	HX  1EFF	7680	7935	Latin Extended Additional 	256	256	Latin
0	Basic Multilingual Plane	HX  1F00	HX  1FFF	7936	8191	Greek Extended 	256	233	Greek
0	Basic Multilingual Plane	HX  2000	HX  206F	8192	8303	General Punctuation 	112	111	Common (109 characters), Inherited (2 characters)
0	Basic Multilingual Plane	HX  2070	HX  209F	8304	8351	Superscripts and Subscripts 	48	42	Latin (15 characters), Common (27 characters)
