BIBLE	INDEX	BOOK	CHAPTER	VERSE	TOTAL	COMBINE	END
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	077	001	20	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	080	001	19	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	081	001	16	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	083	001	18	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	084	001	12	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	085	001	13	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	088	001	18	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	089	001	52	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	092	001	15	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	102	001	28	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	108	001	13	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	140	001	13	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	142	001	7	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	064	3JO	001	014	14	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	066	REV	012	018	1	-1	end
Holy-Bible---Chinese---Chinese-Union-Version-Simplified	064	3JO	001	014	14	1	end
Holy-Bible---Chinese---Chinese-Union-Version-Simplified	066	REV	012	018	1	-1	end
Holy-Bible---Chinese---Chinese-Union-Version-Traditional	064	3JO	001	014	14	1	end
Holy-Bible---Chinese---Chinese-Union-Version-Traditional	066	REV	012	018	1	-1	end
Holy-Bible---Chinese---Mandarin-Bible-Simplified	064	3JO	001	014	14	1	end
Holy-Bible---Chinese---Mandarin-Bible-Simplified	066	REV	012	018	1	-1	end
Holy-Bible---Chinese---Mandarin-Bible-Simplified							end
Holy-Bible---Chinese---Mandarin-Bible-Traditional	064	3JO	001	014	14	1	end
Holy-Bible---Chinese---Mandarin-Bible-Traditional	066	REV	012	018	1	-1	end
Holy-Bible---Chinese---Mandarin-Bible-Traditional							end
Holy-Bible---Chin-Matu---Matupi-Chin-2019	064	3JO	001	014	14	1	end
Holy-Bible---Chin-Matu---Matupi-Chin-2019	066	REV	012	018	1	-1	end
Holy-Bible---Chin-Matu---Matupi-Chin-2019							end
Holy-Bible---Chin-Matu---Matupi-Chin-Bible	064	3JO	001	014	14	1	end
Holy-Bible---Chin-Matu---Matupi-Chin-Bible	066	REV	012	018	1	-1	end
Holy-Bible---Chin-Matu---Matupi-Chin-Bible							end
Holy-Bible---Chin-Matu---Tuivang-Matu-Chin-Bible							end
Holy-Bible---Chin-Siyin---Siyin-Chin-Bible	064	3JO	001	014	14	1	end
Holy-Bible---Chin-Siyin---Siyin-Chin-Bible	066	REV	012	018	1	-1	end
Holy-Bible---Chin-Thado---Chongthu-Bible	022	SOL	006	013	13	1	end
Holy-Bible---Chin-Thado---Chongthu-Bible	064	3JO	001	014	14	1	end
Holy-Bible---Chin-Thado---Chongthu-Bible	066	REV	012	018	1	-1	end
Holy-Bible---Chin-Thaiphum---Thai-Phum-Bible	064	3JO	001	014	14	1	end
Holy-Bible---Chin-Thaiphum---Thai-Phum-Bible	066	REV	012	018	1	-1	end
Holy-Bible---Chin-Thaiphum---Thai-Phum-Bible							end
Holy-Bible---Chiyawo---Yao	064	3JO	001	014	14	1	end
Holy-Bible---Chiyawo---Yao	066	REV	012	018	1	-1	end
Holy-Bible---Cishingini---Cishingini-Bible							end
Holy-Bible---Coptic---Coptic-Boharic-NT	064	3JO	001	014	14	1	end
