# File Name: TALLY_HO.txt
# File Size: 31207       
# File Date: 01/01/2026 19:21:07
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	AIONIAN	STANDARD	SOURCE
Holy-Bible---English---Unlocked-Literal-Bible	31086	31086	31104
Holy-Bible---English---Webster-Bible	31102	31102	31102
Holy-Bible---English---Webster-Bible-Revised	31102	31102	31102
Holy-Bible---English---Weymouth-NT	7942	7942	7943
Holy-Bible---English---World-English-Bible	31098	31098	31103
Holy-Bible---English---World-English-Bible-British-Edition	31098	31098	31103
Holy-Bible---English---World-English-Bible-Updated	31098	31098	31103
Holy-Bible---English---World-Messianic-Bible	31098	31098	31103
Holy-Bible---English---World-Messianic-Bible-British-Edition	31098	31098	31103
Holy-Bible---English---Worsley-Bible	7957	7957	7958
Holy-Bible---English---Wycliffe-Bible	31095	31095	31456
Holy-Bible---English---Youngs-Literal-Translation	31102	31102	31102
Holy-Bible---Esperanto---Esperanto-Bible	31102	31102	31102
Holy-Bible---Estonian---Contemporary	7957	7957	7958
Holy-Bible---Estonian---For-All	4200	4200	4212
Holy-Bible---Etulo---Etulo-Bible	7957	7957	7959
Holy-Bible---Ewe---Word-of-Life	31102	31102	31103
Holy-Bible---Falam---Falam-Chin-Bible	673	673	678
Holy-Bible---Finnish---Finnish-Bible	31102	31102	31102
Holy-Bible---Finnish---Finnish-Pyha-Raamattu	31087	31087	31087
Holy-Bible---Finnish---Open-Living-News	7647	7647	7649
Holy-Bible---Flemish---Flemish-De-Jonge-Bible	7957	7957	7960
Holy-Bible---French---Bonnet-Bovet-Bible	31094	31094	31165
Holy-Bible---French---Free-for-the-World	31098	31098	31102
Holy-Bible---French---French-Crampon-Bible	31102	31102	31456
Holy-Bible---French---French-Crampon-Bible-New	31090	31090	31444
Holy-Bible---French---French-Darby-Bible	31099	31099	31170
Holy-Bible---French---French-Khan-Bible	23142	23142	23210
Holy-Bible---French---French-LXX	23005	23005	23149
Holy-Bible---French---French-LXX-TheoTex	22846	22846	23053
Holy-Bible---French---French-Louis-Segond-1910-Bible	31100	31100	31173
Holy-Bible---French---French-Martin	31102	31102	31109
Holy-Bible---French---French-Oltramare-Bible	7955	7955	7955
Holy-Bible---French---French-Ostervald-Bible	31101	31101	31108
Holy-Bible---French---French-Perret-Gentil-Rilliet	31102	31102	31102
Holy-Bible---French---French-Stapfer-Bible	7957	7957	7957
Holy-Bible---French---French-Synodale-Bible	10418	10418	10418
Holy-Bible---French---Geneva-Bible	7954	7954	7959
Holy-Bible---French---Vulgate-Glaire	31078	31078	31444
Holy-Bible---Gamit---Gamit-Bible	7921	7921	7923
Holy-Bible---Gamo---Gamo-Bible	30904	30904	30906
Holy-Bible---Gamo---Gamo-Bible-Latin	30904	30904	30906
Holy-Bible---Gamotso---Gamo	7832	7832	7834
Holy-Bible---Gata---Gata-Didayi-Bible	7957	7957	7959
Holy-Bible---Gayil---Gayl-Bible	7951	7951	7953
Holy-Bible---Geji---Geji-Bible	5742	5742	5742
Holy-Bible---German---German-Albrecht	10388	10388	10396
Holy-Bible---German---German-Elberfelder-1871	31101	31101	31101
Holy-Bible---German---German-Elberfelder-1905	31101	31101	31102
Holy-Bible---German---German-Katholiche-Riessler	31096	31096	31164
Holy-Bible---German---German-Kautzsch-Weizsacker	31100	31100	31170
Holy-Bible---German---German-Luther-Bible-1545	30413	30413	30481
Holy-Bible---German---German-Luther-Bible-1912	31102	31102	31102
Holy-Bible---German---German-Menge	31096	31096	31169
Holy-Bible---German---German-Reinhardt-Bible	3774	3774	3774
Holy-Bible---German---German-Schlachter	31101	31101	31102
Holy-Bible---German---German-Tafel-Bible	26076	26076	26143
Holy-Bible---German---Open-Bible	7919	7919	8301
Holy-Bible---German---Zurich-Bible	31102	31102	31113
Holy-Bible---Ghanongga---Kubokota-Adapt-Bible	7946	7946	7948
Holy-Bible---Gikuyu---Kikuyu	31101	31101	31101
Holy-Bible---Glavda---Glavda-Bible	3997	3997	3997
Holy-Bible---Gofa---Gofa-Bible	7930	7930	7932
Holy-Bible---Gofa---Gofa-Bible-Ethiopian	30975	30975	30977
Holy-Bible---Gofa---Gofa-Bible-Latin	30975	30975	30977
Holy-Bible---Gourma---Gourma-Bible	7957	7957	7959
Holy-Bible---Gourmantche---Gourmantche-Bible	7943	7943	7945
Holy-Bible---Gowlan---Gowlan-Bible	7957	7957	7959
Holy-Bible---Gowli---Gawli-Bible	7943	7943	7946
Holy-Bible---Greek---Greek-Antoniades	7956	7956	7956
Holy-Bible---Greek---Greek-Byzantine	7956	7956	7959
Holy-Bible---Greek---Greek-Byzantine-Majority	7953	7953	7953
Holy-Bible---Greek---Greek-LXX-Septuagint	22822	22822	23899
Holy-Bible---Greek---Greek-Majority-Text	7953	7953	7957
Holy-Bible---Greek---Greek-Modern-Kathareuousa	31102	31102	31102
Holy-Bible---Greek---Greek-Nestle	7942	7942	7944
Holy-Bible---Greek---Greek-Pickering-Family-35	7953	7953	7953
Holy-Bible---Greek---Greek-SBL	7939	7939	7941
Holy-Bible---Greek---Greek-STEPBible	7957	7957	7957
Holy-Bible---Greek---Greek-Scrivener	7957	7957	7957
Holy-Bible---Greek---Greek-Statistical-Restoration	7914	7914	7914
Holy-Bible---Greek---Greek-Stephanus	7956	7956	7957
Holy-Bible---Greek---Greek-TR-Stephanus-Scrivener	7956	7956	7957
Holy-Bible---Greek---Greek-Textus-Receptus	7957	7957	7959
Holy-Bible---Greek---Greek-Textus-Receptus-Boyd	7957	7957	7957
Holy-Bible---Greek---Greek-Textus-Receptus-Elzevir	7957	7957	7957
Holy-Bible---Greek---Greek-Tischendorf	7937	7937	7940
Holy-Bible---Greek---Greek-Tregelles	7946	7946	7952
Holy-Bible---Greek---Greek-Westcott-Hort	7941	7941	7943
Holy-Bible---Greek---Text-Critical	7953	7953	7954
Holy-Bible---Guduf-Gava---Guduf-Gava-Bible	1749	1749	1749
Holy-Bible---Gujarati---Gujarati-Bible	31102	31102	31104
Holy-Bible---Gujii---Guji-Oromo-Bible	31066	31066	31068
Holy-Bible---Haitian---Haitian-Creole-Bible	31102	31102	31102
Holy-Bible---Haitian---Haitian-Creole-Smith	31102	31102	31103
Holy-Bible---Halbi---Halbi-Bible	7957	7957	7959
Holy-Bible---Haryanvi---Haryanvi-Bible	7923	7923	7925
Holy-Bible---Hausa---Contemporary	31086	31086	31087
Holy-Bible---Hausa---Hausa-Bible	7957	7957	7959
Holy-Bible---Havu---Havu-Bible	2155	2155	2155
