FILE	FLAG	POST	VALUE	SOURCE	DESTINATION
Holy-Bible---Cishingini---Cishingini-Bible				https://ebible.org/Scriptures/asg_vpl.zip	Holy-Bible---Cishingini---Cishingini-Bible---Source-Edition.VPL.zip
Holy-Bible---Coptic---Coptic-Boharic-NT				https://ebible.org/epub/copbhc.epub	Holy-Bible---Coptic---Coptic-Boharic-NT---Source-Edition.epub
Holy-Bible---Coptic---Coptic-Boharic-NT				https://ebible.org/pdf/copbhc/copbhc_all.pdf	Holy-Bible---Coptic---Coptic-Boharic-NT---Source-Edition.pdf
Holy-Bible---Coptic---Coptic-Boharic-NT				https://ebible.org/sword/zip/copBHC1000eb.zip	Holy-Bible---Coptic---Coptic-Boharic-NT---Source-Edition.SWORD.zip
Holy-Bible---Coptic---Coptic-Boharic-NT				https://ebible.org/Scriptures/copbhc_vpl.zip	Holy-Bible---Coptic---Coptic-Boharic-NT---Source-Edition.VPL.zip
Holy-Bible---Coptic---Coptic-NT				https://ebible.org/epub/copcnt.epub	Holy-Bible---Coptic---Coptic-NT---Source-Edition.epub
Holy-Bible---Coptic---Coptic-NT				https://ebible.org/pdf/copcnt/copcnt_all.pdf	Holy-Bible---Coptic---Coptic-NT---Source-Edition.pdf
Holy-Bible---Coptic---Coptic-NT				https://ebible.org/sword/zip/copC2006eb.zip	Holy-Bible---Coptic---Coptic-NT---Source-Edition.SWORD.zip
Holy-Bible---Coptic---Coptic-NT				https://ebible.org/Scriptures/copcnt_vpl.zip	Holy-Bible---Coptic---Coptic-NT---Source-Edition.VPL.zip
Holy-Bible---Coptic---Sahidic-Bible	SWORD			https://crosswire.org/ftpmirror/pub/sword/packages/rawzip/CopSahBible2.zip	Holy-Bible---Coptic---Sahidic-Bible---Source-Edition.SWORD.zip
Holy-Bible---Coptic---Sahidic-Coptic-Horner	SWORD			https://crosswire.org/ftpmirror/pub/sword/packages/rawzip/CopSahHorner.zip	Holy-Bible---Coptic---Sahidic-Coptic-Horner---Source-Edition.SWORD.zip
Holy-Bible---Croatian---Croatian-Bible				https://ebible.org/epub/hrv.epub	Holy-Bible---Croatian---Croatian-Bible---Source-Edition.epub
Holy-Bible---Croatian---Croatian-Bible				https://ebible.org/pdf/hrv/hrv_all.pdf	Holy-Bible---Croatian---Croatian-Bible---Source-Edition.pdf
Holy-Bible---Croatian---Croatian-Bible				https://eBible.org/sword/zip/hrv1942eb.zip	Holy-Bible---Croatian---Croatian-Bible---Source-Edition.SWORD.zip
Holy-Bible---Croatian---Croatian-Bible				https://ebible.org/Scriptures/hrv_vpl.zip	Holy-Bible---Croatian---Croatian-Bible---Source-Edition.VPL.zip
Holy-Bible---Croatian---Croatian-Open-Bible				https://ebible.org/epub/hrvbib.epub	Holy-Bible---Croatian---Croatian-Open-Bible---Source-Edition.epub
Holy-Bible---Croatian---Croatian-Open-Bible				https://ebible.org/pdf/hrvbib/hrvbib_prt.pdf	Holy-Bible---Croatian---Croatian-Open-Bible---Source-Edition.pdf
Holy-Bible---Croatian---Croatian-Open-Bible				https://ebible.org/sword/zip/hrvbib2000eb.zip	Holy-Bible---Croatian---Croatian-Open-Bible---Source-Edition.SWORD.zip
Holy-Bible---Croatian---Croatian-Open-Bible				https://ebible.org/Scriptures/hrvbib_vpl.zip	Holy-Bible---Croatian---Croatian-Open-Bible---Source-Edition.VPL.zip
Holy-Bible---Cung---Chung-Bible				https://ebible.org/epub/cug.epub	Holy-Bible---Cung---Chung-Bible---Source-Edition.epub
Holy-Bible---Cung---Chung-Bible				https://ebible.org/pdf/cug/cug_prt.pdf	Holy-Bible---Cung---Chung-Bible---Source-Edition.pdf
Holy-Bible---Cung---Chung-Bible				https://ebible.org/sword/zip/cug2021eb.zip	Holy-Bible---Cung---Chung-Bible---Source-Edition.SWORD.zip
Holy-Bible---Cung---Chung-Bible				https://ebible.org/Scriptures/cug_vpl.zip	Holy-Bible---Cung---Chung-Bible---Source-Edition.VPL.zip
