BIBLE	MAP
Holy-Bible---Dutch---Leuvense-Bible	NUM29-30
Holy-Bible---Dutch---Leuvense-Bible	1SA23-24
Holy-Bible---Dutch---Leuvense-Bible	JOB39-40-41-42
Holy-Bible---Dutch---Leuvense-Bible	PSA150D
Holy-Bible---Dutch---Leuvense-Bible	ECC4-5
Holy-Bible---Dutch---Leuvense-Bible	ECC6-7
Holy-Bible---Dutch---Leuvense-Bible	SOL5-6
Holy-Bible---Dutch---Leuvense-Bible	DAN100
Holy-Bible---Dutch---Leuvense-Bible	HOS13-14
Holy-Bible---Dutch---Leuvense-Bible	JON1-2
Holy-Bible---Dutch---Leuvense-Bible	HAG1-2
Holy-Bible---Dutch---Schrift	NONE
Holy-Bible---Dutch---Statenvertaling	EXO5-6
Holy-Bible---Dutch---Statenvertaling	1SA23-24
Holy-Bible---Dutch---Statenvertaling	NEH7-8
Holy-Bible---Dutch---Statenvertaling	JOB38-39-40-41
Holy-Bible---Dutch---Statenvertaling	ECC4-5
Holy-Bible---Dutch---Statenvertaling	ISA8-9
Holy-Bible---Dutch---Statenvertaling	DAN5-6
Holy-Bible---Dutch---Statenvertaling	HOS1-2F
Holy-Bible---Dutch---Statenvertaling	HOS11-12
Holy-Bible---Dutch---Statenvertaling	HOS13-14
Holy-Bible---Dutch---Statenvertaling	MIC4-5
Holy-Bible---Duya---Duya-Bible	NONE
Holy-Bible---Ekajuk---Ekajuk-Bible	NONE
Holy-Bible---English---A-Conservative-Version	NONE
Holy-Bible---English---Aionian-Bible	ROM14-16
Holy-Bible---English---American-Standard-Version-1901	NONE
Holy-Bible---English---Anderson-Bible	NONE
Holy-Bible---English---Berean-Standard	NONE
Holy-Bible---English---Bible-in-Basic-English	NONE
Holy-Bible---English---Brenton-English-Septuagint	GEN37
Holy-Bible---English---Brenton-English-Septuagint	XJER
Holy-Bible---English---Brenton-English-Septuagint	NUM12-13
Holy-Bible---English---Brenton-English-Septuagint	JOS21
Holy-Bible---English---Brenton-English-Septuagint	JOB39-40-41-42B
Holy-Bible---English---Brenton-English-Septuagint	PRO2
Holy-Bible---English---Brenton-English-Septuagint	PRO5
Holy-Bible---English---Brenton-English-Septuagint	PRO6B
Holy-Bible---English---Brenton-English-Septuagint	PSA2
Holy-Bible---English---British-English-Septuagint-2012	GEN37
Holy-Bible---English---British-English-Septuagint-2012	XJER
Holy-Bible---English---British-English-Septuagint-2012	NUM12-13
Holy-Bible---English---British-English-Septuagint-2012	JOS21
Holy-Bible---English---British-English-Septuagint-2012	JOB39-40-41-42B
Holy-Bible---English---British-English-Septuagint-2012	PRO2
Holy-Bible---English---British-English-Septuagint-2012	PRO5
Holy-Bible---English---British-English-Septuagint-2012	PRO6
Holy-Bible---English---British-English-Septuagint-2012	PSA2
Holy-Bible---English---Catholic-Public-Domain	GEN49
Holy-Bible---English---Catholic-Public-Domain	EXO40
Holy-Bible---English---Catholic-Public-Domain	NUM12-13
Holy-Bible---English---Catholic-Public-Domain	NUM29-30
Holy-Bible---English---Catholic-Public-Domain	JOS21
Holy-Bible---English---Catholic-Public-Domain	1SA23-24
Holy-Bible---English---Catholic-Public-Domain	JOB39-40-41-42
Holy-Bible---English---Catholic-Public-Domain	PSA150
Holy-Bible---English---Catholic-Public-Domain	ECC4-5
Holy-Bible---English---Catholic-Public-Domain	ECC6-7
Holy-Bible---English---Catholic-Public-Domain	SOL1
