BIBLE	INDEX	BOOK	CHAPTER	VERSE	WORD	STRONGS	UNTRANS	TEXT
Holy-Bible---Arapaho---Arapaho-Luke	061	2PE	002	017	NOTE			questioned
Holy-Bible---Arapaho---Arapaho-Luke								NULL
Holy-Bible---Armenian---Armenian-Bible-Eastern	042	LUK	001	055	SKIP			NULL
Holy-Bible---Armenian---Armenian-Bible-Eastern	042	LUK	001	070	SKIP			NULL
Holy-Bible---Armenian---Armenian-Bible-Eastern	061	2PE	002	017	NOTE			questioned
Holy-Bible---Armenian---Armenian-Bible-Eastern								NULL
Holy-Bible---Armenian---Armenian-Bible-Western	061	2PE	002	017	NOTE			questioned
Holy-Bible---Armenian---Armenian-Bible-Western								NULL
Holy-Bible---Aruamu---Aruamu-Bible	001	GEN	044	030	SHEOL	h7585		NULL
Holy-Bible---Aruamu---Aruamu-Bible	001	GEN	044	031	SKIP			NULL
Holy-Bible---Aruamu---Aruamu-Bible	018	JOB	026	005	SHEOL	h7585		NULL
Holy-Bible---Aruamu---Aruamu-Bible	018	JOB	026	006	SKIP			NULL
Holy-Bible---Aruamu---Aruamu-Bible	042	LUK	001	054	AIONS	g165		NULL
Holy-Bible---Aruamu---Aruamu-Bible	042	LUK	001	055	SKIP			NULL
Holy-Bible---Aruamu---Aruamu-Bible	044	ACT	002	026	HADES	g86		NULL
Holy-Bible---Aruamu---Aruamu-Bible	044	ACT	002	027	SKIP			NULL
Holy-Bible---Aruamu---Aruamu-Bible	045	ROM	016	026	SKIP			NULL
Holy-Bible---Aruamu---Aruamu-Bible	048	GAL	001	003	AIONS	g165		NULL
Holy-Bible---Aruamu---Aruamu-Bible	048	GAL	001	004	SKIP			NULL
Holy-Bible---Aruamu---Aruamu-Bible	048	GAL	001	005	SKIP			NULL
Holy-Bible---Aruamu---Aruamu-Bible	048	GAL	006	007	AIONIAN	g166		NULL
Holy-Bible---Aruamu---Aruamu-Bible	048	GAL	006	008	SKIP			NULL
Holy-Bible---Aruamu---Aruamu-Bible	058	HEB	006	001	AIONIAN	g166		NULL
Holy-Bible---Aruamu---Aruamu-Bible	058	HEB	006	002	SKIP			NULL
Holy-Bible---Aruamu---Aruamu-Bible	058	HEB	006	004	AIONS	g165		NULL
Holy-Bible---Aruamu---Aruamu-Bible	058	HEB	006	005	SKIP			NULL
Holy-Bible---Aruamu---Aruamu-Bible	060	1PE	001	024	AIONS	g165		NULL
Holy-Bible---Aruamu---Aruamu-Bible	060	1PE	001	025	SKIP			NULL
Holy-Bible---Aruamu---Aruamu-Bible								NULL
Holy-Bible---Arumanisht---Aromanian-Bible								NULL
Holy-Bible---Assamese---Assamese-Bible								NULL
Holy-Bible---Ayta-Ambala---Ayta-Ambala-Bible								NULL
Holy-Bible---Azerbaijani---Azerbaijani-Bible	042	LUK	001	054	AIONS	g165		NULL
Holy-Bible---Azerbaijani---Azerbaijani-Bible	042	LUK	001	055	SKIP			NULL
Holy-Bible---Azerbaijani---Azerbaijani-Bible	044	ACT	015	017	AIONS	g165		NULL
Holy-Bible---Azerbaijani---Azerbaijani-Bible	044	ACT	015	018	SKIP			NULL
Holy-Bible---Azerbaijani---Azerbaijani-Bible								NULL
Holy-Bible---Baga-Sitemu---Baga-Sitemu-Bible								NULL
Holy-Bible---Baiso---Basio-Bible	042	LUK	001	054	AIONS	g165		NULL
