# File Name: UNTRANSLATECOUNT.txt
# File Size: 53448       
# File Date: 01/01/2026 19:06:43
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	HELL_ALL	HELL_OUT	SHEOL	GEHENNA	ELEESE	HADES	ABYSS	TARTARUS	LOF	AION	AIONIAN	AION-2	AIDIOS	AION_OUT	CUSTOM	OUT	IN	VERSE_DO	VERSE_OK	VERSE_SK	VERSE_NO	VERSE_ER	VERSE_CK
Holy-Bible---Nkangala---Nkangala-Bible	0	0	0	11	1	7	2	0	0	59	45	10	1	0	0	0	136	131	131	0	133	0	0
Holy-Bible---Norwegian---Living-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	1	0	208	201	200	0	64	0	1
Holy-Bible---Norwegian---Norwegian-Bible	0	0	64	12	1	11	9	1	5	94	63	10	2	0	0	0	272	264	264	0	0	0	0
Holy-Bible---Norwegian---Norwegian-Student-Bible	0	0	64	12	1	11	9	1	5	94	63	10	2	0	1	0	272	265	264	0	0	0	1
Holy-Bible---Oriya---Oriya-Bible	0	3	64	12	1	11	9	1	5	94	63	10	2	0	4	3	272	266	264	0	0	0	2
Holy-Bible---Oromo---New-World	0	3	64	12	1	11	9	1	5	94	63	10	2	0	1	3	272	265	264	0	0	0	1
Holy-Bible---Oromo---West-Central-Oromo-Bible	0	0	64	12	1	11	9	1	5	94	63	10	2	0	0	0	272	264	264	0	0	0	0
Holy-Bible---Oyda---Oyda-Bible-Latin	0	0	0	12	1	11	9	1	5	94	63	10	2	0	3	0	208	200	197	3	64	0	3
Holy-Bible---Oyda---Oyde-Bible-Ethiopic	0	0	0	12	1	11	9	1	5	94	63	10	2	0	3	0	208	200	197	3	64	0	3
Holy-Bible---Padoe---Padoe-Bible	0	0	0	1	0	2	1	0	0	6	3	2	0	0	0	0	15	14	14	0	250	0	0
Holy-Bible---Palaung-Shwe---Shwe-Palaung-Bible	0	0	0	3	0	0	0	0	0	2	1	4	0	0	0	0	10	8	8	0	256	0	0
Holy-Bible---Panjabi---Punjabi-Bible	0	1	64	12	1	11	9	1	5	94	63	10	2	0	0	1	272	264	264	0	0	0	0
Holy-Bible---Pengo---Pengo-Bible	0	0	0	12	1	11	9	1	5	91	59	10	2	0	1	0	201	194	193	0	71	0	1
Holy-Bible---Persian---Old-Persion-Version-Bible	0	0	64	12	1	11	9	1	5	94	63	10	2	0	1	0	272	265	264	0	0	0	1
Holy-Bible---Persian---Open-Contemporary	0	0	64	12	1	11	9	1	5	94	63	10	2	0	2	0	272	264	262	2	0	0	2
Holy-Bible---Pogolo---Pogoro-Bible	0	2	0	12	1	11	9	1	5	94	63	10	2	0	1	2	208	201	200	0	64	0	1
Holy-Bible---Pohnpeian---Pohnpeian-NT-Psalms-New-Alphabet	0	0	15	12	1	11	9	1	5	94	63	10	2	0	1	0	223	216	215	0	49	0	1
Holy-Bible---Pohnpeian---Pohnpeian-NT-Psalms-Old-Alphabet	0	0	15	12	1	11	9	1	5	94	63	10	2	0	1	0	223	216	215	0	49	0	1
Holy-Bible---Polci---Polci-Bible	0	0	0	12	0	7	1	0	0	50	36	10	0	0	0	0	116	111	111	0	153	0	0
Holy-Bible---Polish---Open-Access-Word-of-Life	0	2	0	12	1	11	9	1	5	93	62	12	2	0	3	2	208	200	198	2	64	0	2
Holy-Bible---Polish---Polish-Gdansk	0	1	64	12	1	11	9	1	5	94	63	10	2	0	1	1	272	265	264	0	0	0	1
Holy-Bible---Polish---Polish-Updated-Gdansk	0	1	64	12	1	11	9	1	5	94	63	10	2	0	1	1	272	265	264	0	0	0	1
Holy-Bible---Portuguese---Almeida-Bible-1911	53	0	64	12	1	11	9	1	5	94	63	10	2	2	0	2	272	264	264	0	0	0	0
Holy-Bible---Portuguese---Almeida-NewOrthography	53	0	64	12	1	11	9	1	5	94	63	10	2	2	0	2	272	264	264	0	0	0	0
Holy-Bible---Portuguese---Biblia-Livre	13	0	64	12	1	11	9	1	5	94	63	10	2	0	1	0	272	265	264	0	0	0	1
Holy-Bible---Portuguese---Free-for-All	0	0	0	12	1	11	9	1	5	94	63	10	2	7	1	7	208	201	200	0	64	0	1
Holy-Bible---Portuguese---New-Open-Access	14	0	64	12	1	11	9	1	5	94	63	10	2	1	0	1	272	264	264	0	0	0	0
Holy-Bible---Portuguese---Open-New-Bible	0	0	64	12	1	11	9	1	5	94	63	10	2	0	0	0	272	264	264	0	0	0	0
Holy-Bible---Portuguese---Portuguese-Trans-Trans	34	19	0	12	1	11	9	1	5	94	63	10	2	0	1	19	208	201	200	0	64	0	1
Holy-Bible---Portuguese---World-Portuguese-Bible	4	0	64	12	1	11	9	1	5	94	63	10	2	1	1	1	272	265	264	0	0	0	1
Holy-Bible---Potawatomi---Potawatomi-Bible	0	0	0	7	0	4	0	0	0	10	7	0	0	0	0	0	28	28	28	0	236	0	0
Holy-Bible---Powari---Powari-Bible	0	0	0	11	1	7	2	0	0	40	32	10	1	0	0	0	104	99	99	0	165	0	0
Holy-Bible---Rakhine---Rakhine-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	0	0	208	200	200	0	64	0	0
Holy-Bible---Rangi---Rangi-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	0	0	208	200	200	0	64	0	0
Holy-Bible---Reli---Reli-Bible	0	0	0	7	0	7	7	0	5	64	34	0	1	0	1	0	125	122	121	1	142	0	1
Holy-Bible---Rohingya---Kitabul-Mukaddos-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	0	0	208	200	200	0	64	0	0
Holy-Bible---Rohingya---Rohingya-Bible	0	0	5	4	0	4	1	0	0	29	22	10	0	0	0	0	75	70	70	0	194	0	0
Holy-Bible---Romani---Balkans-Arli-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	0	0	208	200	200	0	64	0	0
Holy-Bible---Romani---Eastern-Vlakh	0	0	5	1	0	4	1	0	0	8	5	2	0	0	1	0	26	25	24	1	239	0	1
Holy-Bible---Romani-Vlax---Arli-Luke	0	0	0	1	0	2	1	0	0	6	3	2	0	0	0	0	15	14	14	0	250	0	0
Holy-Bible---Romani-Vlax---Chergash-Luke	0	0	0	12	1	11	9	1	5	94	63	10	2	0	0	0	208	200	200	0	64	0	0
Holy-Bible---Romani-Vlax---Gurbet-Luke	0	0	0	12	1	11	9	1	5	94	63	10	2	0	0	0	208	200	200	0	64	0	0
Holy-Bible---Romani-Vlax---Lovaric-Bible	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	0	259	0	0
Holy-Bible---Romani-Vlax---Servi-Bible	0	0	5	1	0	4	1	0	0	8	5	2	0	0	0	0	26	25	25	0	239	0	0
Holy-Bible---Romanian---BTF-Bible	0	0	64	12	1	11	9	1	5	94	63	10	2	0	0	0	272	264	264	0	0	0	0
Holy-Bible---Romanian---Bayash-Luke	0	0	0	1	0	2	1	0	0	6	3	2	0	0	0	0	15	14	14	0	250	0	0
Holy-Bible---Romanian---Cyrillic	0	0	64	12	1	11	9	1	5	94	63	10	2	0	1	0	272	265	264	0	0	0	1
Holy-Bible---Romanian---Free-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	1	0	208	201	200	0	64	0	1
Holy-Bible---Romanian---Ludari-Luke	0	0	0	1	0	2	1	0	0	6	3	2	0	0	0	0	15	14	14	0	250	0	0
Holy-Bible---Rote-Dela---Rote-Dela-Bible	0	0	4	12	1	11	9	1	5	93	62	12	2	0	2	0	212	204	203	1	60	0	1
Holy-Bible---Russian---Russian-Synodal-Translation	104	7	64	12	1	11	9	1	5	94	63	10	2	0	6	7	272	270	264	0	0	0	6
Holy-Bible---Saafi-Saafi---Saafi-Saafi-Bible	0	0	5	12	1	11	9	1	5	94	63	10	2	0	1	0	213	205	204	1	59	0	1
