# File Name: UNTRANSLATEREVERSE.txt
# File Size: 11866416    
# File Date: 08/22/2026 15:09:21
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	INDEX	BOOK	CHAPTER	VERSE	INDEXX	BOOKX	CHAPTERX	VERSEX
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	016	006	040	MAT	016	005
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	016	007	040	MAT	016	006
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	016	008	040	MAT	016	007
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	016	009	040	MAT	016	008
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	016	010	040	MAT	016	009
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	016	011	040	MAT	016	010
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	016	012	040	MAT	016	011
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	016	013	040	MAT	016	012
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	016	014	040	MAT	016	013
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	016	015	040	MAT	016	014
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	016	016	040	MAT	016	015
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	016	017	040	MAT	016	016
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	016	018	040	MAT	016	017
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	016	019	040	MAT	016	018
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	016	020	040	MAT	016	019
